Year,sum_of_prices,Avg_consum_per_capita
1970,6198.6,121.5411765
1971,6358.9,124.6843137
1972,6595.2,129.3176471
1973,6675.6,130.8941176
1974,6820.9,133.7431373
1975,6912.6,135.5411765
1976,7076.2,138.7490196
1977,7032.7,137.8960784
1978,6993.6,137.1294118
1979,6875.9,134.8215686
1980,6879,134.8823529
1981,6883.8,134.9764706
1982,6785.5,133.0490196
1983,6537.5,128.1862745
1984,6234.8,122.2509804
1985,6146.9,120.527451
1986,5998.8,117.6235294
1987,5851,114.7254902
1988,5636.3,110.5156863
1989,5438.9,106.645098
1990,5220.2,102.3568627
1991,5105.7,100.1117647
1992,5045.8,98.9372549
1993,4970.9,97.46862745
1994,4897.3,96.0254902
1995,4893.1,95.94313725
1996,4790.1,93.92352941
1997,4766.1,93.45294118
1998,4695.4,92.06666667
1999,4535.1,88.92352941
2000,4273.9,83.80196078
2001,4127.8,80.9372549
2002,4039.2,79.2
2003,3968.8,77.81960784
2004,3711,72.76470588
2005,3645.2,71.4745098
2006,3549.6,69.6
2007,3444.5,67.53921569
2008,3212.3,62.98627451
2009,3053.7,59.87647059
2010,2767.5,54.26470588
2011,2679.4,52.5372549
2012,2591.7,50.81764706
2013,2495.4,48.92941176
2014,2382,46.70588235
2015,2363.6,46.34509804
2016,2301.2,45.12156863
2017,2223.1,43.59019608
2018,2096.8,41.11372549
2019,1979.8,38.81960784